Unnamed: 0,emotion_x,ID_frase,conv,text,speaker,video_name,emocion_code
2573,joy,7,346,"No , you messed it up . You are stupid .",Monica,dia515utt7.wav,3
8495,anger,10,1129,If you bring this up now you are gonna wreck the best thing that even happened to you .,Chandler,dia461utt10.wav,0
1755,joy,4,238,"You know you could totally sell this . It would be perfect for like umm , a kitty litter campaign .",Leslie,dia350utt4.wav,3
7757,anger,3,1019,"Oh Ross you are so tense ! You just gotta relax , okay ? Just need to relax all right ? Just need to relax",Rachel,dia1137utt3.wav,0
8299,joy,4,1099,"Well , I have got a project for you that is a lot more related to fashion .",Mr. Kaplan,dia310utt4.wav,3
5701,joy,2,748,Well it is just while Monica and I were dancing to them it was ... the first time I knew that ... you were the woman I wanted to dance all my dances with .,Chandler,dia1106utt2.wav,3
5880,disgust,3,772,"Oh yeah , he looked like a real lumberjack in those pink lacys .",Joey,dia1135utt3.wav,1
7651,surprise,8,1007,I am extremely talented !,Phoebe,dia918utt8.wav,5
7832,sadness,6,1029,"Okay Bob listen uhh , I am the reason you did not get the job up here .",Chandler,dia1186utt6.wav,4
234,joy,1,28,"He is so cute . So , where did you guys grow up ?",Monica,dia36utt1.wav,3
5748,joy,1,754,Oh hey ! How was your audition ?,Phoebe,dia1114utt1.wav,3
5894,joy,1,775,Hey Pheebs !,Joey,dia1140utt1.wav,3
2490,surprise,10,335,"No , we are gonna paint over the sword , and replace it with a baguette .",Phoebe,dia499utt10.wav,5
8339,surprise,9,1110,Who that ?,Ross,dia363utt9.wav,5
2418,joy,7,327,"Yeah , the lovely Amanda gives me her number and I ... I go and drop it .",Ross,dia486utt7.wav,3
4337,joy,4,560,"See ? And you do not care if people are staring , it is just for a second cause then you are gone !",Phoebe,dia835utt4.wav,3
4534,joy,18,586,"Umm , some people eat stuff off one another .",Ross,dia877utt18.wav,3
2720,surprise,6,366,Are you travelling with a child ?,Ticket Counter Attendant,dia548utt6.wav,5
4919,disgust,5,636,Like I have nothing better to do !,Monica,dia963utt5.wav,1
6624,surprise,7,882,Oh but not before she gave me a juicy shot of little Jamie just crowning away .,Rachel,dia1290utt7.wav,5
2795,joy,11,375,"Ohhh , I knew you loved her ! Then you need to go to the airport and tell her . You’ll probably catch her just as she’s about to go to the gate . You’re gonna call out her name and yell "" I love you ! "" She’s gonna say "" I love you , too ! "" And you guys are going to have the most amazing kiss . Everyone at the gate will applaud .",Monica,dia560utt11.wav,3
7842,fear,7,1030,It is moving .,Rachel,dia1200utt7.wav,2
4669,surprise,14,603,You could not do it ? !,Joey,dia907utt14.wav,5
691,joy,11,88,Oh ! I got an interview ! I got an interview !,Rachel,dia120utt11.wav,3
2844,sadness,1,384,"Dude , I am sorry about what I said !",Joey,dia571utt1.wav,4
2819,joy,14,377,Ahh !,Phoebe,dia562utt14.wav,3
3798,anger,10,493,"Joey , you look nothing like Ben .",Ross,dia732utt10.wav,0
6122,anger,12,805,Okay . 1 ... 2 ... 3 ... Go ! I am gonna kill myself !,Chandler,dia1193utt12.wav,0
8777,anger,7,1166,Cause I ... I got nothing !,Ross,dia634utt7.wav,0
8876,joy,9,1177,"Well , I ai not gonna say no to that .",Joey,dia702utt9.wav,3
6617,anger,8,881,"This is your grandmother engagement ring , I want you to give it to Rachel .",Mrs. Geller,dia1289utt8.wav,0
9599,joy,10,1263,"Okay . Okay , here is a good one of us .",Mona,dia1223utt10.wav,3
5266,surprise,17,686,You live in this building ?,Gary,dia1032utt17.wav,5
4934,joy,8,638,You mean a backup ?,Phoebe,dia965utt8.wav,3
589,surprise,6,70,"But you know , they do not see all the wonderfulness that I see . They do not see all the good stuff and all the sweet stuff . They just you know , they think you are a little ...",Phoebe,dia95utt6.wav,5
2054,fear,5,272,I tried to reach you at work . There is ... been a fire .,Monica,dia403utt5.wav,2
1005,joy,1,129,Hey .,Chandler,dia185utt1.wav,3
7939,disgust,8,1047,"C mon , we are roommates ! My eyes ! ! My eyes ! !",Chandler,dia47utt8.wav,1
2008,anger,7,267,"We just broke up , first thing she does !",Ross,dia391utt7.wav,0
3455,surprise,1,455,Oh whoa ... whoa ... whoa !,Phoebe,dia678utt1.wav,5
1078,joy,5,142,"It turns out they fired the head lunch chef , and guess who got the job .",Monica,dia201utt5.wav,3
1358,joy,13,180,"Um ... mm , yeah right !",Chandler,dia263utt13.wav,3
3774,surprise,10,490,Hey Joey ! Is not that the girl that waved at you the other day ?,Monica,dia729utt10.wav,5
8677,disgust,4,1153,No way are you cool enough to pull of Clint .,Joey,dia572utt4.wav,1
5577,sadness,10,733,"Ooh , now you lost me .",Phoebe,dia1090utt10.wav,4
3585,surprise,6,470,"Ugh , Monica , I know about you and Chandler .",Rachel,dia698utt6.wav,5
8203,joy,9,1086,"In this case , you have a fear of commitment , so I say you go in there and be the most committed guy there ever was .",Joey,dia241utt9.wav,3
9518,anger,3,1253,You can not marry him !,Monica,dia1160utt3.wav,0
5008,surprise,8,647,"Well , at least you are not hearing it for the first time at your fifth grade Halloween party .",Monica,dia977utt8.wav,5
2045,joy,6,271,"Oh , and he is got such a good heart ! Does not he have a good heart ?",Joanna,dia400utt6.wav,3
5197,joy,7,677,You guys were totally right !,Joey,dia1016utt7.wav,3
7488,joy,11,983,You said you loved me ! I can not believe this !,Monica,dia660utt11.wav,3
712,joy,3,92,"Ooh , and it is so nice having this little sink here ...",Rachel,dia126utt3.wav,3
8664,joy,5,1152,I have been waiting for this for months !,Rachel,dia566utt5.wav,3
3227,surprise,4,427,I would like to donate $ 200 .,Phoebe,dia635utt4.wav,5
3785,sadness,5,492,"I did not mean to touch that ... I mean you there , there .",Rachel,dia731utt5.wav,4
8601,sadness,3,1143,Ugh ! ! !,Monica,dia526utt3.wav,4
2116,surprise,11,282,We will stop by every news stand and burn every copy of their Times and the Post .,Joey,dia420utt11.wav,5
4503,anger,3,582,It could not have anything to do with the fact that ... that maybe I am a good listener and I uh I put on a great slide show ?,Ross,dia872utt3.wav,0
4774,fear,6,617,I ... I keep hearing all these rumors that I might get fired .,Joey,dia930utt6.wav,2
4243,sadness,16,548,"Okay , listen this really hurts . Let go .",Chandler,dia819utt16.wav,4
6654,surprise,16,885,"Oh really ? So , 33 and still single , would you say you have commitment issues ?",Joey,dia1296utt16.wav,5
2039,joy,1,271,Chandler is fantastic ! !,Joanna,dia400utt1.wav,3
5107,surprise,3,664,Oh my God ! Those are my bedroom eyes ? ! Why did you ever sleep with me ?,Chandler,dia997utt3.wav,5
2780,surprise,1,374,All those things I said about not being ready,Joshua,dia559utt1.wav,5
3493,fear,1,460,"Ross , umm , you have been in there for a long time . I am starting to get kinda freaked out .",Elizabeth,dia687utt1.wav,2
3856,joy,5,500,Hey !,Chandler,dia741utt5.wav,3
3831,sadness,19,496,Yes ! Great ! Give me those cigs ! Give it ! Give it !,Rachel,dia736utt19.wav,4
830,anger,1,103,"What we did was wrong . Oh god , I just had sex with somebody that was not alive during the Bicentennial .",Monica,dia142utt1.wav,0
1925,anger,18,259,"No , I am not gonna pick them up .",Ross,dia382utt18.wav,0
9503,surprise,8,1250,"You know , you look familiar . Do I know you from somewhere ?",Joey,dia1143utt8.wav,5
7163,anger,5,947,"I am sorry . I am sorry , Phoebe . It is just a little shorter than what we had discussed .",Monica,dia174utt5.wav,0
3796,joy,9,493,"That is great . Listen , would not it be great though if I got to play Ben dad ?",Joey,dia732utt9.wav,3
5649,joy,3,743,Your favorite !,Monica,dia1101utt3.wav,3
1608,surprise,1,217,Hey !,Rachel,dia318utt1.wav,5
2706,anger,6,364,"Ross , come on ! Get in the bloody scrum ! Ross , get in !",Liam,dia545utt6.wav,0
2621,fear,1,353,"Monica , betting the apartment , I do not know about this .",Rachel,dia525utt1.wav,2
5459,surprise,1,713,What ? ! What are you doing ? !,Monica,dia1068utt1.wav,5
6034,joy,3,791,Like your sweater .,Tag,dia1165utt3.wav,3
3563,anger,7,467,Oh my God ! Where the hell have you been ? ! !,Monica,dia695utt7.wav,0
7684,joy,14,1010,"Joe ! I am glad I found you , I got an audition for you !",Estelle,dia928utt14.wav,3
4876,joy,8,629,Ooooh ! Freeze him out .,Joey,dia954utt8.wav,3
8426,anger,6,1122,"You were gonna spill hot coffee all over me , huh ? ! !",Tommy,dia421utt6.wav,0
5253,anger,1,686,Who is that ? !,Monica,dia1032utt1.wav,0
2858,anger,7,385,"Okay , it is probably why kids picked on me in school , and why I never do well with women ... So , as of 4 o clock tomorrow , I am either gonna be Mark Johnson or John Markson .",Chandler,dia573utt7.wav,0
5692,anger,3,747,Oh ... oh ! So that is the way it is gonna be huh ? Yeah I can break the rules too you know !,Joey,dia1105utt3.wav,0
2404,anger,3,325,"Would you mind spending some time on my siadic area , it is been killing me today .",Rick,dia482utt3.wav,0
8413,disgust,12,1119,"That is horrible ! Well , you did the right thing man .",Joey,dia414utt12.wav,1
7539,joy,10,989,I will see you later .,Jen,dia728utt10.wav,3
2378,disgust,4,322,No ! You are clogging up the chute that I spent a half ... hour unclogging !,Mr. Treeger,dia478utt4.wav,1
8415,joy,13,1119,"Thanks , I am glad you see it that way .",Chandler,dia414utt13.wav,3
2015,sadness,4,268,"Well , oh , Mark , I am doing this for the wrong reasons , you know ?",Rachel,dia393utt4.wav,4
3419,joy,9,449,"All right ! But uh , listen , what do you say we crank it up a notch ?",Joey,dia670utt9.wav,3
9384,surprise,2,1238,What is that ?,Ross,dia1011utt2.wav,5
6577,surprise,2,875,You liked it ? You really liked it ?,Joey,dia1282utt2.wav,5
8747,surprise,4,1162,"Oh , and the chilliest has carpel ... tunel syndrome .",Emily,dia603utt4.wav,5
1165,surprise,3,159,Went down to the docks . Bet you did not know you could get it wholesale .,Monica,dia232utt3.wav,5
5360,anger,11,699,"Hey , you can cancel plans with friends if there is the possibility for sex !",Joey,dia1049utt11.wav,0
6159,joy,4,809,"But I do not care , because you got the apartment .",Ross,dia1201utt4.wav,3
4117,surprise,7,531,I have not seen it yet !,Rachel,dia787utt7.wav,5
3072,anger,5,411,"Yeah , I have to tell Ross that I love him .",Rachel,dia611utt5.wav,0
6061,anger,1,795,I can not believe he taped the two of them having sex !,Phoebe,dia1173utt1.wav,0
2488,joy,6,335,"Yeah , it is for our catering business !",Phoebe,dia499utt6.wav,3
9352,joy,6,1235,"Oh , my ... my new assistant was very happy that I hired my new assistant .",Rachel,dia988utt6.wav,3
5473,surprise,14,714,Why did not I see that !,Phoebe,dia1069utt14.wav,5
9700,joy,1,1275,Hey .,Joey,dia1311utt1.wav,3
2182,joy,1,295,"So , in conclusion , the lines all go up , so I am happy .",Doug,dia439utt1.wav,3
2441,anger,8,329,"I mean at least when I have seen her with clothes on , I could imagine her body was like covered in boles or something .",Chandler,dia489utt8.wav,0
2785,joy,6,374,"Oh ! Oh , I love that but .",Rachel,dia559utt6.wav,3
7998,sadness,7,1055,Really stupid .,Mrs. Bing,dia79utt7.wav,4
1646,disgust,8,222,"All right look , you are going to have to go there yourself now , okay , make a few surprise visits .",Chandler,dia325utt8.wav,1
8712,joy,3,1158,"Okay , look at this one . This is my favourite .",Monica,dia591utt3.wav,3
2718,surprise,1,366,"Okay . Then I guess it is just , wait here then . Hi . I need one fake ticket to Yemen .",Chandler,dia548utt1.wav,5
3724,surprise,4,485,What are you guys doing up ?,Joey,dia721utt4.wav,5
6653,surprise,16,885,"Oh really ? So , 33 and still single , would you say you have commitment issues ?",Joey,dia1296utt16.wav,5
7648,anger,1,1007,"We have got 3 minutes till the reactor blows , we are never gonna make it !",Joey,dia918utt1.wav,0
1589,surprise,13,213,"Ah , just one other thing .",Guy,dia311utt13.wav,5
3396,anger,2,445,You ... you ... you ... you threw my sandwich away !,Ross,dia663utt2.wav,0
2619,joy,2,353,"Rachel , I have not missed one question the whole game . I own this game ! Look at my hand .",Monica,dia525utt2.wav,3
8621,anger,3,1147,I can not believe it ! He still has not called .,Rachel,dia540utt3.wav,0
7439,joy,5,981,Little Leslie is here !,Frank,dia626utt5.wav,3
8400,surprise,16,1118,Yeah . Oh ! Was how you invented the cotton gin ? !,Rachel,dia407utt16.wav,5
7509,surprise,3,987,Then do Iceberg !,Phoebe,dia684utt3.wav,5
